subjects,roi,condition,trial,TR3,TR4,TR5,TR6
ds170728,nacc,neutral,trial14,-0.10794,-0.50196,0.23675,-0.67892
ds170728,nacc,neutral,trial15,0.15306,-0.11302,0.12809,0.45148
ds170728,nacc,neutral,trial16,-0.74324,0.27394,-0.19253,-0.2359
ds170728,nacc,neutral,trial17,0.030248,-0.50334,0.018023,-0.424
ds170728,nacc,neutral,trial18,-0.35156,-0.12809,0.066785,0.058357
ds170728,nacc,neutral,trial2,0.29107,0.0039362,-0.16238,0.26524
ds170728,nacc,neutral,trial3,-0.25366,-0.47092,-0.40192,0.096812
ds170728,nacc,neutral,trial4,-0.067851,-0.19163,0.10257,-0.43211
ds170728,nacc,neutral,trial5,0.19494,0.089894,0.30166,0.35896
ds170728,nacc,neutral,trial6,-0.037459,-0.42091,0.10201,-0.23405
ds170728,nacc,neutral,trial7,-0.037984,0.1502,0.32522,-0.33241
ds170728,nacc,neutral,trial8,0.063609,0.15962,-0.12159,-0.095249
ds170728,nacc,neutral,trial9,-0.51192,0.39651,-0.15139,0.019508
ds170915,nacc,drugs,trial1,-0.45774,-0.049378,-0.01527,0.28361
ds170915,nacc,drugs,trial10,-0.15089,0.28423,0.1732,0.034415
ds170915,nacc,drugs,trial11,0.12708,0.19934,-0.1076,-0.27122
ds170915,nacc,drugs,trial12,-0.25045,0.074407,0.13064,-0.066106
ds170915,nacc,drugs,trial13,-0.34261,-0.21023,-0.074345,0.086684
ds170915,nacc,drugs,trial14,-0.24096,-0.023817,-0.25658,-0.50504
ds170915,nacc,drugs,trial15,-0.051666,-0.20671,-0.34492,-0.51209
ds170915,nacc,drugs,trial16,0.056642,-0.11663,-0.28122,-0.18458
ds170915,nacc,drugs,trial17,0.046836,-0.11247,-0.34837,-0.49921
ds170915,nacc,drugs,trial18,-0.047704,-0.032527,0.36348,0.17254
ds170915,nacc,drugs,trial2,-0.0050253,0.27641,0.37195,0.30735
ds170915,nacc,drugs,trial3,-0.28375,-0.15565,-0.003417,0.11991
ds170915,nacc,drugs,trial4,0.24833,0.17334,0.23404,0.18683
ds170915,nacc,drugs,trial5,-0.084094,-0.087241,-0.039584,0.15165
ds170915,nacc,drugs,trial6,-0.077147,-0.24718,0.15655,0.13325
ds170915,nacc,drugs,trial7,0.039801,-0.21087,-0.061725,0.049693
ds170915,nacc,drugs,trial8,-0.8058,-0.97041,-0.65826,-0.36467
ds170915,nacc,drugs,trial9,0.3619,0.32529,0.22499,0.23195
ds170915,nacc,food,trial1,-0.19495,0.20452,0.39246,0.35761
ds170915,nacc,food,trial10,-0.15142,0.22642,0.16826,0.35136
ds170915,nacc,food,trial11,0.28772,0.058214,0.14376,0.058582
ds170915,nacc,food,trial12,0.043551,0.34636,0.43717,-0.069772
ds170915,nacc,food,trial13,0.17462,0.26893,-0.22178,-0.072457
ds170915,nacc,food,trial14,-0.2221,0.011082,0.55064,0.37179
ds170915,nacc,food,trial15,0.17274,0.0030909,0.002968,0.090381
ds170915,nacc,food,trial16,0.20235,0.13663,0.17,-0.083036
ds170915,nacc,food,trial17,0.49867,0.82941,1.0628,0.20208
ds170915,nacc,food,trial18,-0.099548,-0.36984,-0.13866,-0.077178
ds170915,nacc,food,trial2,-0.26867,-0.021924,0.34417,0.043432
ds170915,nacc,food,trial3,-0.17295,-0.0076688,-0.048246,-0.22205
ds170915,nacc,food,trial4,-0.4039,-0.133,-0.16868,0.12876
ds170915,nacc,food,trial5,-0.45382,-0.17601,-0.10365,0.58446
ds170915,nacc,food,trial6,-0.029195,-0.31502,0.029793,0.2118
ds170915,nacc,food,trial7,-0.1897,-0.020915,0.035777,0.12713
ds170915,nacc,food,trial8,0.69509,0.68131,0.080849,0.018704
ds170915,nacc,food,trial9,0.19135,0.61014,0.61468,0.17184
ds170915,nacc,neutral,trial1,0.0051441,-0.40797,-0.30764,-0.25687
ds170915,nacc,neutral,trial10,0.12415,0.062224,0.20948,-0.44978
ds170915,nacc,neutral,trial11,-0.13655,-0.013253,-0.36428,-0.3463
ds170915,nacc,neutral,trial12,0.047069,-0.036048,-0.2153,-0.16849
ds170915,nacc,neutral,trial13,0.28338,0.1525,0.38863,-0.11241
ds170915,nacc,neutral,trial14,-0.43177,-0.31935,0.4071,0.55562
ds170915,nacc,neutral,trial15,0.12649,0.15648,-0.096232,-0.049256
ds170915,nacc,neutral,trial16,-0.16171,0.21088,0.29427,0.13992
ds170915,nacc,neutral,trial17,-0.25754,-0.48161,-0.42898,0.16642
ds170915,nacc,neutral,trial18,0.30267,0.23445,0.18632,-0.087452
ds170915,nacc,neutral,trial2,-0.29775,-0.058866,0.16468,0.1351
ds170915,nacc,neutral,trial3,-0.38977,-0.038067,0.1305,-0.18042
ds170915,nacc,neutral,trial4,0.34423,0.25124,0.020743,-0.51171
ds170915,nacc,neutral,trial5,0.26398,-0.20913,-0.16233,0.29873
ds170915,nacc,neutral,trial6,0.15877,0.13945,-0.23843,-0.45458
ds170915,nacc,neutral,trial7,-0.17766,-0.066708,0.043592,0.36397
ds170915,nacc,neutral,trial8,-0.31492,0.032258,0.08298,-0.16807
ds170915,nacc,neutral,trial9,0.32137,0.20672,0.035786,0.14639
er171009,nacc,drugs,trial1,-0.3882,-0.78564,-0.031091,0.37916
er171009,nacc,drugs,trial10,1.0569,-1.4081,-0.2223,0.53617
er171009,nacc,drugs,trial11,-0.019239,0.58106,-0.59978,0.12572
er171009,nacc,drugs,trial12,1.3019,-0.15505,0.36459,0.31778
er171009,nacc,drugs,trial13,0.33406,0.040244,-0.46359,-0.26897
er171009,nacc,drugs,trial14,0.30553,-0.70206,-0.057964,0.1578
er171009,nacc,drugs,trial15,0.11976,0.71913,0.67579,-0.41603
er171009,nacc,drugs,trial16,-0.27267,0.063332,-1.236,-0.43726
er171009,nacc,drugs,trial17,0.33861,-0.1953,0.31145,0.81669
er171009,nacc,drugs,trial18,0.28342,-0.0014878,0.51088,-0.065927
er171009,nacc,drugs,trial2,0.24549,-0.16208,-0.20168,0.30536
er171009,nacc,drugs,trial3,0.79038,0.19403,0.50696,0.20733
er171009,nacc,drugs,trial4,0.42405,-0.26402,0.20138,0.73348
er171009,nacc,drugs,trial5,0.95474,-1.1022,-0.0020089,-0.1147
er171009,nacc,drugs,trial6,-0.95922,0.30598,0.35658,0.9866
er171009,nacc,drugs,trial7,0.31899,-0.74791,-0.047253,0.075793
er171009,nacc,drugs,trial8,-0.092371,0.42872,-0.21011,0.28053
er171009,nacc,drugs,trial9,0.4227,0.19089,0.82612,-0.32591
er171009,nacc,food,trial1,-0.39243,0.20026,-0.091298,0.65628
er171009,nacc,food,trial10,-0.27591,0.23315,0.16598,0.37869
er171009,nacc,food,trial11,-0.28791,0.077035,0.12563,0.3184
er171009,nacc,food,trial12,1.1045,-1.7499,-0.27711,-0.5862
er171009,nacc,food,trial13,-0.079316,0.66121,0.51175,-0.94923
er171009,nacc,food,trial14,-1.2076,0.42202,-0.59897,0.74973
er171009,nacc,food,trial15,0.62725,0.47654,-0.34475,-0.71262
er171009,nacc,food,trial16,-1.5798,0.69155,-0.13352,0.21328
er171009,nacc,food,trial17,-0.002048,0.29672,1.6406,-0.76222
er171009,nacc,food,trial18,0.06335,0.32061,-0.29285,-0.032246
er171009,nacc,food,trial2,0.11153,-0.57256,0.89605,0.030608
er171009,nacc,food,trial3,-0.06561,-0.30274,-0.30966,0.1351
er171009,nacc,food,trial4,0.11514,0.81709,-0.53418,-0.39623
er171009,nacc,food,trial5,-0.18736,0.64593,-0.4712,-0.12188
er171009,nacc,food,trial6,0.43098,0.6588,0.61963,-1.0459
er171009,nacc,food,trial7,0.7836,-0.57573,-0.1255,0.40613
er171009,nacc,food,trial8,-0.23263,-0.23444,0.5487,0.28537
er171009,nacc,food,trial9,0.2677,0.65355,-0.8612,-0.070616
er171009,nacc,neutral,trial1,-1.0533,-0.6284,0.17846,1.295
er171009,nacc,neutral,trial10,-0.5783,0.15141,-1.0602,-0.25128
er171009,nacc,neutral,trial11,0.10674,0.35254,-0.5019,-0.88082
er171009,nacc,neutral,trial12,0.22409,0.7164,0.90076,-0.44488
er171009,nacc,neutral,trial13,0.29131,-0.19939,-0.099839,-0.10801
er171009,nacc,neutral,trial14,-0.090921,-0.45829,-0.51682,0.29489
er171009,nacc,neutral,trial15,-0.24117,-1.4839,-0.045752,0.81743
er171009,nacc,neutral,trial16,-0.36735,0.11296,1.1849,-0.68742
er171009,nacc,neutral,trial17,-0.19717,-0.34517,0.23364,0.65077
er171009,nacc,neutral,trial18,0.48028,-0.42274,-0.40742,0.85015
er171009,nacc,neutral,trial2,0.31288,-0.20594,0.11455,-0.57649
er171009,nacc,neutral,trial3,-0.038875,0.39533,-0.48284,0.87492
er171009,nacc,neutral,trial4,-0.87519,-0.12463,0.3613,0.40076
er171009,nacc,neutral,trial5,1.368,-0.73941,1.0844,-3.0957
er171009,nacc,neutral,trial6,0.45708,-1.1387,-0.29165,0.49649
er171009,nacc,neutral,trial7,0.024663,0.67936,-0.064406,-1.236
er171009,nacc,neutral,trial8,-0.069621,1.1684,-0.73724,-0.54091
er171009,nacc,neutral,trial9,0.081219,-0.40479,0.14587,0.87594
gm160909,nacc,drugs,trial1,0.50096,0.5009,0.062727,0.011444
gm160909,nacc,drugs,trial10,0.59995,0.026488,0.44904,0.010739
gm160909,nacc,drugs,trial11,0.25671,-0.29808,-0.72273,-0.072238
gm160909,nacc,drugs,trial12,0.77942,0.86709,-0.43625,0.50415
gm160909,nacc,drugs,trial13,0.056041,0.95595,-0.63759,0.7365
gm160909,nacc,drugs,trial14,0.33122,-1.1201,0.80871,0.077809
gm160909,nacc,drugs,trial15,0.12739,0.58649,-0.70016,0.69547
gm160909,nacc,drugs,trial16,0.39178,-0.029431,0.84198,-0.062116
gm160909,nacc,drugs,trial17,-0.14368,0.18181,0.1041,-0.73737
gm160909,nacc,drugs,trial18,0.32447,0.43824,-0.17478,0.42581
gm160909,nacc,drugs,trial2,-0.092873,-0.71522,-0.0017257,-0.5686
gm160909,nacc,drugs,trial3,-0.37072,0.39867,-0.97372,-0.41485
gm160909,nacc,drugs,trial4,0.53399,-0.19022,0.69349,-0.14709
gm160909,nacc,drugs,trial5,-0.62314,0.11745,0.57396,-0.38667
gm160909,nacc,drugs,trial6,-0.13719,0.11052,-0.77449,0.51199
gm160909,nacc,drugs,trial7,0.32952,0.35944,-0.28481,-0.047398
gm160909,nacc,drugs,trial8,-0.047304,0.34508,-0.41268,-1.2537
gm160909,nacc,drugs,trial9,0.46657,-0.88686,-0.032838,-0.92356
gm160909,nacc,food,trial1,0.018827,0.11216,0.1284,-0.91366
gm160909,nacc,food,trial10,0.49265,-0.18369,-0.30542,-2.0833
gm160909,nacc,food,trial11,1.5309,-0.42107,0.42808,-0.75829
gm160909,nacc,food,trial12,0.25466,0.89578,0.14796,-0.10412
gm160909,nacc,food,trial13,-0.18379,0.74133,0.13043,0.70155
gm160909,nacc,food,trial14,-0.069008,0.0087901,0.029485,-0.58118
gm160909,nacc,food,trial15,0.088193,-0.31594,0.33121,-1.0711
gm160909,nacc,food,trial16,-0.53684,0.57779,0.11371,0.72021
gm160909,nacc,food,trial17,-0.079461,-0.8686,0.63204,-0.86663
gm160909,nacc,food,trial18,0.14045,0.33767,0.14608,-0.28577
gm160909,nacc,food,trial2,0.46905,0.53884,0.29644,0.56143
gm160909,nacc,food,trial3,-0.24386,-0.23367,-0.16097,-0.14991
gm160909,nacc,food,trial4,-0.54823,-0.26395,-0.25397,0.76135
gm160909,nacc,food,trial5,-0.19655,0.34275,0.032814,-0.045504
gm160909,nacc,food,trial6,-0.16637,0.30155,-0.32709,-0.74564
gm160909,nacc,food,trial7,-0.044513,-0.12308,-0.90878,-0.35085
gm160909,nacc,food,trial8,0.051383,0.44393,-0.58467,-0.10673
gm160909,nacc,food,trial9,-0.08508,0.46945,0.45287,0.40583
gm160909,nacc,neutral,trial1,-0.25713,-0.19816,-1.1825,-0.43795
gm160909,nacc,neutral,trial10,-0.070562,0.24388,0.078791,0.17919
gm160909,nacc,neutral,trial11,1.1387,-0.6634,-1.2391,0.86083
gm160909,nacc,neutral,trial12,-0.59301,0.11402,0.059242,-0.094363
gm160909,nacc,neutral,trial13,1.0086,1.6618,-2.9871,0.79674
gm160909,nacc,neutral,trial14,-0.15519,-0.80088,0.2119,-0.23411
gm160909,nacc,neutral,trial15,0.31908,-0.39578,-0.9195,0.1699
gm160909,nacc,neutral,trial16,-1.0109,0.72766,-0.12329,-0.43169
gm160909,nacc,neutral,trial17,0.51192,0.50053,-0.13303,0.44069
gm160909,nacc,neutral,trial18,-0.31544,0.040898,-0.24408,-0.30215
gm160909,nacc,neutral,trial2,0.047153,0.088823,0.068754,0.02051
gm160909,nacc,neutral,trial3,-0.11697,-0.027988,-0.024073,0.16601
gm160909,nacc,neutral,trial4,-0.06723,-0.59579,0.045636,-0.82947
gm160909,nacc,neutral,trial5,0.72694,0.55983,1.0035,0.34001
gm160909,nacc,neutral,trial6,-0.10929,-0.29874,-0.22001,0.83202
gm160909,nacc,neutral,trial7,0.016192,0.13398,0.042299,0.29535
gm160909,nacc,neutral,trial8,-0.44236,-0.82743,-1.2111,0.072469
gm160909,nacc,neutral,trial9,0.44265,-0.4398,0.33024,-1.0788
ja151218,nacc,drugs,trial1,0.28113,0.79386,0.85138,0.632
ja151218,nacc,drugs,trial10,0.14097,0.47941,0.22449,0.18667
ja151218,nacc,drugs,trial11,-0.60419,0.39805,0.34796,0.1582
ja151218,nacc,drugs,trial12,0.6683,-0.48132,0.18943,1.0531
ja151218,nacc,drugs,trial13,-0.50229,0.19249,-0.17208,0.51198
ja151218,nacc,drugs,trial14,1.0432,-0.14323,-0.23126,0.062157
ja151218,nacc,drugs,trial15,-0.89408,-0.0039637,0.9612,-0.1383
ja151218,nacc,drugs,trial16,-0.088619,0.26019,-0.70376,0.29161
ja151218,nacc,drugs,trial17,-0.67091,0.034618,-0.76663,0.28985
ja151218,nacc,drugs,trial18,0.48393,0.0065356,0.27319,0.15778
ja151218,nacc,drugs,trial2,-1.2729,-1.1741,-0.9292,0.069571
ja151218,nacc,drugs,trial3,0.43513,0.27765,0.66665,0.34093
ja151218,nacc,drugs,trial4,-0.060235,0.2729,0.25905,0.023619
ja151218,nacc,drugs,trial5,-0.33427,0.038028,-0.29465,-1.7703
ja151218,nacc,drugs,trial6,-0.55048,-0.56899,-0.23874,0.10014
ja151218,nacc,drugs,trial7,0.6411,-0.77829,-0.89128,0.19605
ja151218,nacc,drugs,trial8,0.10908,0.34689,0.45472,0.13954
ja151218,nacc,drugs,trial9,-0.13011,-0.071166,0.40553,-0.095579
ja151218,nacc,food,trial1,0.067568,0.21312999999999999,0.75369,-0.63437
ja151218,nacc,food,trial10,-0.19749,0.44172,-0.5894,-0.070951
ja151218,nacc,food,trial11,0.10498,0.38285,0.60897,-0.35378
ja151218,nacc,food,trial12,-0.033049,-0.25398,-0.36624,-1.2151
ja151218,nacc,food,trial13,-0.34316,-0.63242,-0.57357,-0.11518
ja151218,nacc,food,trial14,-0.081986,0.72024,0.93912,0.73906
ja151218,nacc,food,trial15,-0.82194,-1.3039,-0.73363,0.090086
ja151218,nacc,food,trial16,0.59391,-0.27594,0.57487,1.091
ja151218,nacc,food,trial17,0.31573,0.27741,0.97686,0.18577
ja151218,nacc,food,trial18,0.086388,-0.41897,-0.40204,-0.25045
ja151218,nacc,food,trial2,0.069503,0.2581,0.5839,0.45937
ja151218,nacc,food,trial3,-0.28157,0.14959,0.60685,0.10071
ja151218,nacc,food,trial4,0.77381,0.24452,0.63196,0.031529
ja151218,nacc,food,trial5,0.60009,-0.45388,-0.82366,-0.77234
ja151218,nacc,food,trial6,0.32905,0.1881,0.71226,0.19794
ja151218,nacc,food,trial7,-0.13199,0.33934,0.35519,0.056525
ja151218,nacc,food,trial8,0.28904,-0.22874,-0.038664,-0.19723
ja151218,nacc,food,trial9,0.23532,0.39811,0.66361,0.42139
ja151218,nacc,neutral,trial1,-0.52305,-0.47695,-0.65651,-0.88951
ja151218,nacc,neutral,trial10,-0.40344,-0.8727,0.17408,0.21388
ja151218,nacc,neutral,trial11,-0.62405,-0.080163,-0.083918,-0.35365
ja151218,nacc,neutral,trial12,-0.93165,-0.2624,-0.075838,0.49992
ja151218,nacc,neutral,trial13,-0.047357,0.071549,0.61187,-0.15025
ja151218,nacc,neutral,trial14,0.098546,0.43741,0.077667,0.13145
ja151218,nacc,neutral,trial15,0.1608,-0.016041,0.43987,0.4335
ja151218,nacc,neutral,trial16,-0.62072,-0.23513,0.5404,0.059517
ja151218,nacc,neutral,trial17,0.25217,-0.47989,-0.058065,-0.72052
ja151218,nacc,neutral,trial18,0.43511,-0.036734,0.105,0.53749
ja151218,nacc,neutral,trial2,-0.32369,-0.66202,-0.21221,-0.17831
ja151218,nacc,neutral,trial3,-0.15728,-0.81604,-0.42437,-1.3719
ja151218,nacc,neutral,trial4,0.17717,-0.14538,0.26203,0.31712
ja151218,nacc,neutral,trial5,0.069321,-0.62238,-0.089754,0.059461
ja151218,nacc,neutral,trial6,0.4248,0.61848,-0.24716,0.4055
ja151218,nacc,neutral,trial7,0.4033,0.6943,-0.65123,0.55487
ja151218,nacc,neutral,trial8,0.025166,0.23262,0.17262,-3.7453e-4
ja151218,nacc,neutral,trial9,-1.1547,-0.63829,-1.2428,-0.083301
ja160416,nacc,drugs,trial1,0.26895,0.20442,-0.19783,-0.078313
ja160416,nacc,drugs,trial10,0.28904,0.053016,-0.35448,-0.31162
ja160416,nacc,drugs,trial11,0.49492,0.32096,-0.20119,-0.14537
ja160416,nacc,drugs,trial12,-0.086651,-0.32176,-0.24987,-0.078767
ja160416,nacc,drugs,trial13,0.23835,-0.0049181,-0.23259,-0.080234
ja160416,nacc,drugs,trial14,-0.017432,-0.041023,-0.27735,-0.2618
ja160416,nacc,drugs,trial15,-0.15456,-0.22541,-0.14363,0.27491
ja160416,nacc,drugs,trial16,0.23137,0.039188,-0.07426,-0.1147
ja160416,nacc,drugs,trial17,-0.39035,-0.18163,-0.051029,-0.22852
ja160416,nacc,drugs,trial18,-0.10217,-0.069575,-0.22253,-0.55908
ja160416,nacc,drugs,trial2,-0.54692,0.043563,-0.55295,-0.20884
ja160416,nacc,drugs,trial3,0.43626,-0.085453,-0.15798,-0.26462
ja160416,nacc,drugs,trial4,-0.051948,-0.44342,-0.3917,-0.025349
ja160416,nacc,drugs,trial5,-0.11192,-0.21734,-0.28599,-0.17967
ja160416,nacc,drugs,trial6,0.021312,-0.042986,-0.42528,0.19978
ja160416,nacc,drugs,trial7,-0.16887,0.059842,-0.11843,-0.26027
ja160416,nacc,drugs,trial8,-0.20175,-0.11541,-0.41089,-0.082898
ja160416,nacc,drugs,trial9,0.32534,-0.11237,-0.33469,0.0039042
ja160416,nacc,food,trial1,-0.19852,0.5897,0.6151,0.15226
ja160416,nacc,food,trial10,0.32679,0.75131,0.37068,0.32515
ja160416,nacc,food,trial11,0.58894,-0.033428,0.36033,0.03525
ja160416,nacc,food,trial12,0.59453,0.14098,0.038565,0.010743
ja160416,nacc,food,trial13,-0.090546,0.23453,0.056289,0.093798
ja160416,nacc,food,trial14,0.019712,-0.32784,-0.39627,0.076716
ja160416,nacc,food,trial15,0.94189,0.73125,-0.16932,-0.16487
ja160416,nacc,food,trial16,0.060459,0.12739,-0.35263,-0.28512
ja160416,nacc,food,trial17,-0.16317,-0.066741,-0.10367,0.32306
ja160416,nacc,food,trial18,-0.048903,-0.065263,-0.5453,0.2418
ja160416,nacc,food,trial2,-0.20636,-0.1026,0.030467,-0.33862
ja160416,nacc,food,trial3,0.47907,0.15897,0.10437,0.33412
ja160416,nacc,food,trial4,-0.2015,-0.26338,0.027439,0.11332
ja160416,nacc,food,trial5,0.037822,-0.016813,0.005105,0.048664
ja160416,nacc,food,trial6,0.30019,-0.078479,0.086281,0.1135
ja160416,nacc,food,trial7,0.40253,0.24982,-0.16337,0.080616
ja160416,nacc,food,trial8,0.32678,0.089866,0.056629,0.15301
ja160416,nacc,food,trial9,0.099233,0.464,0.53747,0.047883
ja160416,nacc,neutral,trial1,0.0052512,0.070548,0.1012,-0.18343
ja160416,nacc,neutral,trial10,0.059588,-0.27902,-0.45721,-0.45094
ja160416,nacc,neutral,trial11,0.092359,-0.21874,0.077052,0.096373
ja160416,nacc,neutral,trial12,-0.048802,-0.023432,0.1936,0.2032
ja160416,nacc,neutral,trial13,0.096033,0.029569,-0.49698,-0.30049
ja160416,nacc,neutral,trial14,0.36773,0.17901,0.10237,-0.12247
ja160416,nacc,neutral,trial15,0.11058,-0.12927,-0.21609,0.27252
ja160416,nacc,neutral,trial16,0.22456,-0.47287,0.013644,-0.13266
ja160416,nacc,neutral,trial17,0.12148,0.10964,0.29652,0.21034
ja160416,nacc,neutral,trial18,0.31277,0.12539,-0.068688,-0.2606
ja160416,nacc,neutral,trial2,0.44118,0.068774,-0.12008,-0.66106
ja160416,nacc,neutral,trial3,-0.23548,-0.48409,-0.22185,0.028606
ja160416,nacc,neutral,trial4,0.057117,0.45592,0.52553,0.19259
ja160416,nacc,neutral,trial5,0.049409,-0.32935,0.28286,-0.075166
ja160416,nacc,neutral,trial6,-0.021544,-0.0068117,0.20153,-0.069966
ja160416,nacc,neutral,trial7,0.67175,0.35355,-0.072697,-0.24793
ja160416,nacc,neutral,trial8,-0.11712,0.029746,-0.050527,-0.16606
ja160416,nacc,neutral,trial9,0.24637,0.01357,0.14658,-0.14002
jb161004,nacc,drugs,trial1,-0.64486,-0.18299,-0.34343,0.10974
jb161004,nacc,drugs,trial10,-0.081694,0.19783,-0.44375,0.083288
jb161004,nacc,drugs,trial11,0.3055,0.24787,-0.029397,-0.27369
jb161004,nacc,drugs,trial12,-0.35256,-0.14951,0.10487,0.16201
jb161004,nacc,drugs,trial13,-0.36787,-0.12512,0.59974,0.46478
jb161004,nacc,drugs,trial14,0.3546,0.31059,0.082577,0.19645
jb161004,nacc,drugs,trial15,0.42235,-0.0043011,0.18059,-0.18546
jb161004,nacc,drugs,trial16,-0.068513,-0.0075886,0.094588,-0.072845
jb161004,nacc,drugs,trial17,0.12146,0.4719,0.40422,0.15935
jb161004,nacc,drugs,trial18,-0.69035,0.068142,0.13627,0.32322
jb161004,nacc,drugs,trial2,0.034093,0.17922,-0.21274,0.4395
jb161004,nacc,drugs,trial3,-0.25625,-0.29936,0.12268,-0.27937
jb161004,nacc,drugs,trial4,-0.21562,0.043871,0.32904,-0.11013
jb161004,nacc,drugs,trial5,0.099049,-0.11622,0.139,-0.048195
jb161004,nacc,drugs,trial6,0.038532,-0.20826,-0.27761,0.12949
jb161004,nacc,drugs,trial7,-0.17878,-0.12118,0.35414,0.4248
jb161004,nacc,drugs,trial8,0.17145,-0.098225,-0.17608,0.27915
jb161004,nacc,drugs,trial9,0.13508,-0.26413,-0.04101,0.44899
jb161004,nacc,food,trial1,-0.43937,-0.52037,0.43293,0.24751
jb161004,nacc,food,trial10,-0.42696,0.078992,-0.568,0.051211
jb161004,nacc,food,trial11,-0.18617,-0.43185,-0.32171,-0.60328
jb161004,nacc,food,trial12,0.26973,0.50307,0.13079,-0.23302
jb161004,nacc,food,trial13,0.26399,0.56675,0.29906,0.091015
jb161004,nacc,food,trial14,0.048914,-0.18342,0.22425,0.086251
jb161004,nacc,food,trial15,-1.1849,-0.42725,-0.89969,-0.28089
jb161004,nacc,food,trial16,0.14109,-0.25883,0.13837,-0.34918
jb161004,nacc,food,trial17,0.017751,-0.13806,-0.41454,0.137
jb161004,nacc,food,trial18,0.061324,0.30168,0.1619,-0.14408
jb161004,nacc,food,trial2,0.10454,0.23659,0.0058002,-0.0065176
jb161004,nacc,food,trial3,-0.0031851,-0.25405,0.21666,-0.044317
jb161004,nacc,food,trial4,-0.093732,0.10582,0.30022,0.022412
jb161004,nacc,food,trial5,-0.16376,0.13871,0.15514,0.036313
jb161004,nacc,food,trial6,-0.063544,0.013662,0.13928,-0.067359
jb161004,nacc,food,trial7,-0.11727,-0.30396,0.031325,0.12697
jb161004,nacc,food,trial8,0.036048,0.086637,-0.50466,0.2537
jb161004,nacc,food,trial9,0.092296,-0.51011,-0.15814,0.05064
jb161004,nacc,neutral,trial1,0.22326,0.23204,-0.079344,0.023959
jb161004,nacc,neutral,trial10,0.12765,-0.30131,0.18792,0.034728
jb161004,nacc,neutral,trial11,-1.1129,0.68761,0.55231,0.091124
jb161004,nacc,neutral,trial12,-0.69549,-0.28956,-0.63266,0.5043
jb161004,nacc,neutral,trial13,0.11609,-0.46626,0.17044,-0.56534
jb161004,nacc,neutral,trial14,0.12786,0.97115,-0.27428,0.1864
jb161004,nacc,neutral,trial15,-0.30205,-0.028189,-0.37193,-0.23947
jb161004,nacc,neutral,trial16,0.70196,0.62328,0.29377,0.18425
jb161004,nacc,neutral,trial17,0.10308,-0.13848,0.25871,-0.25152
jb161004,nacc,neutral,trial18,0.19507,-0.66286,0.051994,-0.26262
jb161004,nacc,neutral,trial2,0.048748,0.10926,-0.63008,0.18119
jb161004,nacc,neutral,trial3,-0.14263,-0.21896,0.06606,-0.3263
jb161004,nacc,neutral,trial4,-0.077117,0.21934,-0.19243,-0.27873
jb161004,nacc,neutral,trial5,-0.20232,0.40069,-0.353,0.0055875
jb161004,nacc,neutral,trial6,-0.11502,-0.033216,0.076247,-0.73628
jb161004,nacc,neutral,trial7,-0.024266,-0.1064,-0.09976,-0.093098
jb161004,nacc,neutral,trial8,0.57465,0.8289,0.48213,0.36502
jb161004,nacc,neutral,trial9,-0.20714,-0.047387,0.37536,0.20899
jc170501,nacc,drugs,trial1,0.093383,0.17332,0.57506,0.62954
jc170501,nacc,drugs,trial10,-0.10406,0.4085,0.10954,-0.01356
jc170501,nacc,drugs,trial11,0.08274,0.18535,0.22898,0.2866
jc170501,nacc,drugs,trial12,-0.093147,-0.1069,0.029816,0.061398
jc170501,nacc,drugs,trial13,0.33703,0.2999,0.23555,-0.17582
jc170501,nacc,drugs,trial14,0.42571,0.24825,-0.071178,-0.20328
jc170501,nacc,drugs,trial15,-0.12498,-0.098729,-0.25167,-0.064042
jc170501,nacc,drugs,trial16,0.3416,-0.049595,0.038735,0.031427
jc170501,nacc,drugs,trial17,-0.27726,0.10333,0.039686,0.1862
jc170501,nacc,drugs,trial18,-0.16288,-0.13903,-0.22813,-0.08933
jc170501,nacc,drugs,trial2,-0.15987,0.20163,0.14624,-0.04483
jc170501,nacc,drugs,trial3,-0.076769,-0.069349,0.4922,0.21084
jc170501,nacc,drugs,trial4,0.0727,0.34409,0.47639,0.54405
jc170501,nacc,drugs,trial5,-0.42606,-0.30774,-0.26371,-0.11399
jc170501,nacc,drugs,trial6,0.25831,-0.022769,0.39236,0.18833
jc170501,nacc,drugs,trial7,-0.058018,0.17999,0.03361,0.14317
jc170501,nacc,drugs,trial8,-0.076199,-0.27972,-0.22728,0.27176
jc170501,nacc,drugs,trial9,0.40796,0.39673,0.16848,0.12907
jc170501,nacc,food,trial1,-0.52197,-0.30794,0.0032461,-0.0607
jc170501,nacc,food,trial10,0.48437,0.54344,0.65203,0.053358
jc170501,nacc,food,trial11,-0.4976,-0.24989,-0.013174,-0.061231
jc170501,nacc,food,trial12,0.1102,0.10505,0.18506,-0.080074
jc170501,nacc,food,trial13,-0.083161,0.070552,-0.14804,-0.089342
jc170501,nacc,food,trial14,0.037684,-0.092405,-0.048001,-0.16361
jc170501,nacc,food,trial15,-0.13539,-0.23259,-0.16242,-0.065577
jc170501,nacc,food,trial16,-0.24944,-0.25002,-0.18943,-0.053607
jc170501,nacc,food,trial17,-0.82979,-0.92382,-0.50927,0.042526
jc170501,nacc,food,trial18,0.044656,0.21557,0.28968,-0.22847
jc170501,nacc,food,trial2,-0.11973,-0.13486,0.011318,-0.24316
